seat,grn,alp,lib,on,emerging_party,unknown,ind,ind_2,nat,other_candidate,ca,kap
brisbane,0.424,0.307,0.268,0.001,0,NA,NA,NA,NA,NA,NA,NA
ryan,0.442,0.193,0.36200000000000004,0.001,NA,0.001,NA,NA,NA,NA,NA,NA
gilmore,NA,0.485,0.451,0.003,0,0,0.061,NA,NA,NA,NA,NA
macnamara,0.434,0.489,0.071,NA,0,0,NA,0.005,NA,NA,NA,NA
cowper,NA,0.001,NA,0.006999999999999999,NA,0,0.499,0.001,0.491,0,NA,NA
bradfield,NA,0.003,0.534,0.001,0,0,0.462,0.001,NA,NA,NA,NA
lyons,0.005,0.428,0.5479999999999999,0.002,0,NA,NA,0.017,NA,NA,NA,NA
kooyong,NA,NA,0.43799999999999994,NA,NA,0,0.561,NA,NA,NA,NA,NA
moore,0.002,0.303,0.5720000000000001,0.001,0,NA,0.121,0.002,NA,0,NA,NA
mcewen,0.01,0.581,0.40700000000000003,0.002,0,NA,NA,NA,NA,NA,NA,NA
curtin,NA,0.006,0.39399999999999996,NA,0,0,0.599,NA,NA,0,NA,NA
richmond,0.284,0.621,NA,0.002,0,NA,NA,0.022000000000000002,0.071,0,NA,NA
goldstein,NA,0.001,0.37200000000000005,NA,0,0,0.626,NA,NA,NA,NA,NA
wills,0.36700000000000005,0.632,NA,NA,0,0,NA,NA,NA,0,NA,NA
bennelong,0.001,0.642,0.35600000000000004,0.001,0,NA,NA,NA,NA,NA,NA,NA
calare,NA,NA,NA,0.001,NA,0,0.353,NA,0.645,0,NA,NA
bullwinkel,NA,0.653,0.34,NA,NA,0,NA,NA,0.006,0,NA,NA
bass,0.001,0.317,0.665,0.001,0,NA,NA,0.015,NA,0,NA,NA
dickson,0.001,0.298,0.6759999999999999,0.002,0,NA,0.022000000000000002,NA,NA,0,NA,NA
fowler,NA,0.302,0.012,NA,0,0,0.6859999999999999,NA,NA,0,NA,NA
chisholm,0.001,0.687,0.305,0.001,NA,0.001,NA,0.005,NA,NA,NA,NA
