seat,state,coalition,labor,any_other,independent,greens,one_nation,centre_alliance
banks,NSW,1.15,4.5,26,999,999,999,999
bennelong,NSW,1.8,1.9,26,999,999,999,999
blaxland,NSW,8,1.08,26,11,999,999,999
bradfield,NSW,1.9,26,26,1.8,999,999,999
calare,NSW,1.65,26,9.5,2.35,999,999,999
cowper,NSW,1.8,26,26,1.9,999,999,999
wentworth,NSW,3.75,29,29,1.2,999,999,999
werriwa,NSW,3,1.33,26,999,999,999,999
whitlam,NSW,4.5,1.16,21,999,999,999,999
reid,NSW,3.9,1.21,26,999,999,999,999
richmond,NSW,11,1.4,15,999,3.25,999,999
robertson,NSW,2.2,1.6,26,999,999,999,999
shortland,NSW,5,1.13,26,999,999,999,999
warringah,NSW,5,29,29,1.11,999,999,999
watson,NSW,19,1.04,26,9.5,999,999,999
hunter,NSW,4,1.22,19,999,999,26,999
macarthur,NSW,6,1.08,26,999,999,999,999
mackellar,NSW,2.9,26,26,1.37,999,999,999
macquarie,NSW,3.5,1.25,23,999,999,999,999
parramatta,NSW,4,1.18,26,999,999,999,999
paterson,NSW,2,1.8,9,999,999,999,999
dobell,NSW,5.5,1.13,18,999,999,999,999
eden-monaro,NSW,3.7,1.22,18,999,999,999,999
fowler,NSW,26,2.8,26,1.39,999,999,999
gilmore,NSW,1.52,2.75,26,8.5,999,999,999
greenway,NSW,5,1.1,23,999,999,999,999
hughes,NSW,1.04,7.5,23,999,999,999,999
ballarat,VIC,8.5,1.04,15,999,999,999,999
bruce,VIC,3.85,1.22,26,999,999,999,999
calwell,VIC,14,1.04,8.5,999,999,999,999
casey,VIC,1.13,7,26,10,999,999,999
corangamite,VIC,5,1.13,19,999,999,999,999
dunkley,VIC,4,1.2,26,999,999,999,999
melbourne,VIC,26,8,17,999,1.05,999,999
menzies,VIC,1.18,4.25,26,999,999,999,999
wannon,VIC,1.75,26,26,1.95,999,999,999
wills,VIC,26,1.56,26,999,2.25,999,999
deakin,VIC,1.5,2.45,26,999,999,999,999
goldstein,VIC,2,34,26,1.7,999,999,999
hawke,VIC,3.5,1.24,13,999,999,999,999
kooyong,VIC,1.72,29,41,2,999,999,999
macnamara,VIC,5.5,1.9,26,999,2.45,999,999
mcewen,VIC,1.9,1.8,19,999,999,999,999
flinders,VIC,1.25,26,3.5,999,999,999,999
holt,VIC,4.75,1.13,26,999,999,999,999
indi,VIC,6,23,26,1.1,999,999,999
monash,VIC,1.35,21,7.5,4,999,999,999
aston,VIC,1.2,4,26,999,999,999,999
cooper,VIC,26,1.07,26,999,6.5,999,999
blair,QLD,3.75,1.26,12,999,999,999,999
bonner,QLD,1.08,6,26,999,999,999,999
brisbane,QLD,3,2.3,26,999,2.7,999,999
flynn,QLD,1.06,19,7,999,999,999,999
forde,QLD,1.06,7,19,999,999,999,999
groom,QLD,1.09,21,26,6,999,999,999
leichhardt,QLD,1.33,3,15,999,999,999,999
longman,QLD,1.09,6.5,11,999,999,999,999
moreton,QLD,6,1.12,26,999,12,999,999
griffith,QLD,13,2.75,26,999,1.5,999,999
mcpherson,QLD,1.37,26,26,2.8,999,999,999
ryan,QLD,1.75,5.5,26,999,2.65,999,999
bullwinkel,WA,1.65,2.15,26,999,999,999,999
forrest,WA,1.18,21,26,4.25,999,999,999
fremantle,WA,21,1.15,4.5,999,999,999,999
hasluck,WA,5,1.12,34,999,999,999,999
oconnor,WA,1.05,9.5,10,999,999,999,999
perth,WA,13,1.08,26,999,7,999,999
swan,WA,6,1.08,26,999,999,999,999
moore,WA,1.53,3,21,8.5,999,999,999
pearce,WA,3.25,1.28,26,999,999,999,999
tangney,WA,2.4,1.5,34,999,999,999,999
grey,SA,1.09,13,6,999,999,999,999
mayo,SA,4.75,15,26,999,999,999,1.18
boothby,SA,2.65,1.42,26,999,999,999,999
fenner,ACT,10,1.01,26,999,999,999,999
bass,TAS,1.2,4,15,999,999,999,999
braddon,TAS,1.06,7,15,999,999,999,999
lyons,TAS,1.67,2.05,21,999,999,999,999
lingiari,NT,2.2,1.6,26,999,999,999,999
solomon,NT,3.3,1.28,17,999,999,999,999
