state,division,fp_coalition,fp_labor,fp_greens,fp_other,tcp_coalition,tcp_labor,tcp_greens,tcp_other,outcome
ACT,Bean,31,41,14,13,38,62,NA,NA,Labor retain
ACT,Canberra,24,50,19,7,NA,68,32,NA,Labor retain
ACT,Fenner,27,40,18,15,39,61,NA,NA,Labor retain
NSW,Banks,46,34,9,11,54,46,NA,NA,Coalition retain
NSW,Barton,29,44,11,15,40,60,NA,NA,Labor retain
NSW,Bennelong,46,37,12,6,51,49,NA,NA,Too close to call
NSW,Berowra,42,30,11,16,54,46,NA,NA,Coalition retain
NSW,Blaxland,33,44,12,11,42,58,NA,NA,Labor retain
NSW,Bradfield,39,17,7,36,52,NA,NA,48,Coalition retain
NSW,Calare,33,20,5,42,48,NA,NA,52,Other gain
NSW,Chifley,29,46,13,13,40,60,NA,NA,Labor retain
NSW,Cook,54,27,8,11,61,39,NA,NA,Coalition retain
NSW,Cowper,33,23,8,36,47,NA,NA,53,Other gain
NSW,Cunningham,28,46,12,13,37,63,NA,NA,Labor retain
NSW,Dobell,40,32,9,18,52,48,NA,NA,Coalition gain
NSW,Eden-monaro,35,41,9,14,43,57,NA,NA,Labor retain
NSW,Farrer,43,20,6,31,63,37,NA,NA,Coalition retain
NSW,Fowler,21,27,8,44,NA,43,NA,57,Other retain
NSW,Gilmore,39,33,8,21,51,49,NA,NA,Too close to call
NSW,Grayndler,21,54,15,10,NA,72,28,NA,Labor retain
NSW,Greenway,35,43,14,8,42,58,NA,NA,Labor retain
NSW,Hughes,43,34,10,12,51,49,NA,NA,Too close to call
NSW,Hume,42,26,10,23,55,45,NA,NA,Coalition retain
NSW,Hunter,24,36,8,32,47,53,NA,NA,Labor retain
NSW,Kingsford Smith,30,44,14,12,40,60,NA,NA,Labor retain
NSW,Lindsay,45,28,9,17,57,43,NA,NA,Coalition retain
NSW,Lyne,34,22,6,38,61,39,NA,NA,Coalition retain
NSW,Macarthur,35,39,13,13,46,54,NA,NA,Labor retain
NSW,Mackellar,41,13,7,39,48,NA,NA,52,Other retain
NSW,Macquarie,34,38,10,19,44,56,NA,NA,Labor retain
NSW,Mcmahon,31,40,10,19,44,56,NA,NA,Labor retain
NSW,Mitchell,51,28,10,11,59,41,NA,NA,Coalition retain
NSW,New England,45,23,7,26,61,39,NA,NA,Coalition retain
NSW,Newcastle,25,45,12,17,35,65,NA,NA,Labor retain
NSW,Page,40,24,7,29,56,44,NA,NA,Coalition retain
NSW,Parkes,38,20,6,36,64,36,NA,NA,Coalition retain
NSW,Parramatta,37,40,11,12,46,54,NA,NA,Labor retain
NSW,Paterson,39,34,8,20,51,49,NA,NA,Too close to call
NSW,Reid,44,39,11,6,49,51,NA,NA,Too close to call
NSW,Richmond,22,39,10,30,43,57,NA,NA,Labor retain
NSW,Riverina,37,26,6,32,57,43,NA,NA,Coalition retain
NSW,Robertson,39,34,11,16,49,51,NA,NA,Too close to call
NSW,Shortland,39,38,9,15,49,51,NA,NA,Too close to call
NSW,Sydney,23,51,18,8,NA,69,31,NA,Labor retain
NSW,Warringah,33,15,9,43,41,NA,NA,59,Other retain
NSW,Watson,26,45,13,16,38,62,NA,NA,Labor retain
NSW,Wentworth,39,20,10,31,47,NA,NA,53,Other retain
