electorate,Coalition,Labor,Any Other Candidate,Independent,Greens,One Nation,Katter's Australian Party,Centre Alliance
Banks (NSW),1.17,4.25,26,999,999,999,999,999
Barton (NSW),16,1.005,23,999,999,999,999,999
Bennelong (NSW),1.8,1.9,26,999,999,999,999,999
Berowra (NSW),1.005,23,12,999,999,999,999,999
Blaxland (NSW),6,1.1,26,21,999,999,999,999
Bradfield (NSW),1.83,26,26,1.83,999,999,999,999
Calare (NSW),1.66,26,26,9.5,999,999,999,999
Chifley (NSW),10,1.01,26,999,999,999,999,999
Cook (NSW),1.005,15,26,999,999,999,999,999
Cowper (NSW),1.87,26,26,1.8,999,999,999,999
Cunningham (NSW),19,1.01,26,999,14,999,999,999
Dobell (NSW),8,1.04,26,999,999,999,999,999
Eden-Monaro (NSW),4.25,1.17,26,999,999,999,999,999
Farrer (NSW),1.03,26,26,9.5,999,999,999,999
Fowler (NSW),23,2.8,26,1.38,999,999,999,999
Gilmore (NSW),1.68,2.37,26,10,999,999,999,999
Grayndler (NSW),19,1.005,26,999,19,999,999,999
Greenway (NSW),6.5,1.08,26,999,999,999,999,999
Hughes (NSW),1.05,7.25,26,999,999,999,999,999
Hume (NSW),1.005,21,19,999,999,999,999,999
Hunter (NSW),5.25,1.14,26,999,999,16,999,999
Kingsford Smith (NSW),12,1.01,16,999,999,999,999,999
Lindsay (NSW),1.005,15,26,999,999,999,999,999
Lyne (NSW),1.02,26,9,999,999,999,999,999
Macarthur (NSW),6,1.08,26,999,999,999,999,999
Mackellar (NSW),3,26,26,1.32,999,999,999,999
Macquarie (NSW),3.45,1.25,26,999,999,999,999,999
McMahon (NSW),14,1.25,3.9,999,999,999,999,999
Mitchell (NSW),1.005,15,26,999,999,999,999,999
New England (NSW),1.005,26,11,999,999,999,999,999
Newcastle (NSW),21,1.01,21,999,15,999,999,999
Page (NSW),1.03,12,12,999,999,999,999,999
Parkes (NSW),1.01,26,10,999,999,999,999,999
Parramatta (NSW),4.25,1.17,26,999,999,999,999,999
Paterson (NSW),2.03,1.93,26,9,999,999,999,999
Reid (NSW),3.9,1.2,26,999,999,999,999,999
Richmond (NSW),12,1.41,15,999,3.25,999,999,999
Riverina (NSW),1.02,26,9,999,999,999,999,999
Robertson (NSW),2.15,1.6,26,999,999,999,999,999
Shortland (NSW),5,1.13,26,999,999,999,999,999
Sydney (NSW),26,1.01,26,999,11,999,999,999
Warringah (NSW),7,26,26,1.06,999,999,999,999
Watson (NSW),21,1.03,26,10,999,999,999,999
Wentworth (NSW),4.25,26,26,1.17,999,999,999,999
Werriwa (NSW),2.62,1.4,26,999,999,999,999,999
Whitlam (NSW),4.7,1.14,26,999,999,999,999,999
Goldstein (VIC),2.1,26,26,1.63,999,999,999,999
Kooyong (VIC),1.75,26,26,1.93,999,999,999,999
Aston (VIC),1.2,3.9,26,999,999,999,999,999
Ballarat (VIC),8,1.05,16,999,999,999,999,999
Bendigo (VIC),5,1.11,26,999,999,999,999,999
Bruce (VIC),3.9,1.2,26,999,999,999,999,999
Calwell (VIC),15,1.05,8,999,999,999,999,999
Casey (VIC),1.12,9,26,8,999,999,999,999
Chisholm (VIC),1.87,1.8,26,999,999,999,999,999
Cooper (VIC),26,1.08,26,999,6.5,999,999,999
Corangamite (VIC),5.75,1.11,21,999,999,999,999,999
Corio (VIC),15,1.01,15,999,999,999,999,999
Deakin (VIC),1.5,2.37,26,999,999,999,999,999
Dunkley (VIC),3.9,1.2,26,999,999,999,999,999
Flinders (VIC),1.24,26,26,3.7,999,999,999,999
Fraser (VIC),21,1.01,26,999,13,999,999,999
Gellibrand (VIC),15,1.005,15,999,999,999,999,999
Gippsland (VIC),1.005,19,26,999,999,999,999,999
Gorton (VIC),-Inf,1.02,26,999,999,999,999,999
Hawke (VIC),3.5,1.24,26,999,999,999,999,999
Holt (VIC),5,1.12,26,999,999,999,999,999
Hotham (VIC),15,1.005,21,999,999,999,999,999
Indi (VIC),4.7,26,26,1.15,999,999,999,999
Isaacs (VIC),9,1.02,26,999,999,999,999,999
Jagajaga (VIC),14,1.01,16,999,999,999,999,999
La Trobe (VIC),1.01,21,12,999,999,999,999,999
Lalor (VIC),13,1.005,26,999,999,999,999,999
Macnamara (VIC),5.75,1.91,26,999,2.4,999,999,999
Mallee (VIC),1.005,21,19,999,999,999,999,999
Maribyrnong (VIC),13,1.01,19,999,999,999,999,999
McEwen (VIC),1.87,1.8,26,999,999,999,999,999
Melbourne (VIC),26,7.5,26,999,1.05,999,999,999
Menzies (VIC),1.12,5,26,999,999,999,999,999
Monash (VIC),1.4,26,23,6.5,999,999,999,999
Nicholls (VIC),1.03,26,8.5,999,999,999,999,999
Scullin (VIC),14,1.005,26,999,999,999,999,999
Wannon (VIC),1.75,26,26,1.93,999,999,999,999
Wills (VIC),26,1.6,26,999,2.15,999,999,999
Dickson (QLD),1.57,2.62,26,9,999,999,999,999
Griffith (QLD),16,2.25,26,999,1.63,999,999,999
Ryan (QLD),1.93,4.25,26,999,2.8,999,999,999
Brisbane (QLD),3.7,2.25,26,999,2.6,999,999,999
Blair (QLD),3.7,1.24,19,999,999,999,999,999
Bonner (QLD),1.11,5.25,26,999,999,999,999,999
Bowman (QLD),1.01,12,21,999,999,999,999,999
Capricornia (QLD),1.03,9.5,16,999,999,999,999,999
Dawson (QLD),1.02,16,11,999,999,999,999,999
Fadden (QLD),1.005,15,19,999,999,999,999,999
Fairfax (QLD),1.005,19,14,999,999,999,999,999
Fisher (QLD),1.03,23,26,9,999,999,999,999
Flynn (QLD),1.06,13,8.5,999,999,999,999,999
Forde (QLD),1.05,7.5,19,999,999,999,999,999
Groom (QLD),1.09,26,26,6,999,999,999,999
Herbert (QLD),1.005,21,16,999,999,999,999,999
Hinkler (QLD),1.005,15,15,999,999,999,999,999
Kennedy (QLD),9,26,26,999,999,999,1.03,999
Leichhardt (QLD),1.45,2.6,21,999,999,999,999,999
Lilley (QLD),12,1.02,15,999,999,999,999,999
Longman (QLD),1.17,4.25,26,999,999,999,999,999
Maranoa (QLD),1.005,26,26,999,999,16,999,999
McPherson (QLD),1.33,26,26,3,999,999,999,999
Moncrieff (QLD),1.005,26,11,999,999,999,999,999
Moreton (QLD),12,1.04,26,999,12,999,999,999
Oxley (QLD),12,1.005,26,999,999,999,999,999
Petrie (QLD),1.005,12,26,999,999,999,999,999
Rankin (QLD),12,1.02,16,999,999,999,999,999
Wide Bay (QLD),1.03,21,9.5,999,999,999,999,999
Wright (QLD),1.02,26,10,999,999,999,999,999
Brand (WA),14,1.005,26,999,999,999,999,999
Bullwinkel (WA),2,1.72,26,999,999,999,999,999
Burt (WA),14,1.005,26,999,999,999,999,999
Canning (WA),1.2,3.9,26,999,999,999,999,999
Cowan (WA),9.5,1.02,26,999,999,999,999,999
Curtin (WA),1.87,26,26,1.8,999,999,999,999
Durack (WA),1.03,13,11,999,999,999,999,999
Forrest (WA),1.21,26,26,3.9,999,999,999,999
Fremantle (WA),26,1.17,26,4.25,999,999,999,999
Hasluck (WA),6,1.09,26,999,999,999,999,999
Moore (WA),1.63,2.62,21,8.5,999,999,999,999
O'Connor (WA),1.05,10,10,999,999,999,999,999
Pearce (WA),3.1,1.3,26,999,999,999,999,999
Perth (WA),21,1.05,26,999,8,999,999,999
Swan (WA),5.25,1.1,26,999,999,999,999,999
Tangney (WA),2.62,1.41,26,999,999,999,999,999
Boothby (SA),2.55,1.43,26,999,999,999,999,999
Sturt (SA),1.5,2.95,16,10,999,999,999,999
Adelaide (SA),16,1.03,26,999,11,999,999,999
Barker (SA),1.005,21,14,999,999,999,999,999
Grey (SA),1.1,15,26,6.5,999,999,999,999
Hindmarsh (SA),9.5,1.02,26,999,999,999,999,999
Kingston (SA),14,1.005,26,999,999,999,999,999
Makin (SA),13,1.005,26,999,999,999,999,999
Mayo (SA),5,16,26,999,999,999,999,1.17
Spence (SA),15,1.005,21,999,999,999,999,999
Lyons (TAS),1.8,1.87,26,999,999,999,999,999
Bass (TAS),1.29,3.25,26,999,999,999,999,999
Braddon (TAS),1.11,5.75,19,999,999,999,999,999
Clark (TAS),26,26,26,1.005,999,999,999,999
Franklin (TAS),26,1.09,6.5,999,999,999,999,999
Lingiari (NT),2.15,1.61,26,999,999,999,999,999
Solomon (NT),3.5,1.25,21,999,999,999,999,999
Bean (ACT),21,1.02,10,999,999,999,999,999
Canberra (ACT),26,1.01,26,999,10,999,999,999
Fenner (ACT),10,1.01,26,999,999,999,999,999
