seat,alp 46.0% or less,alp 46.01-47%,alp 47.01-48%,alp 48.01-49%,alp 49.01-50%,alp 50.01-51%,alp 51.01-52%,alp 52.01-53%,alp 53.01-54%,alp 54.01%+,labor,coalition,any other,ind,greens,one nation,katters ap,centre alliance
banks,999,999,999,999,999,999,999,999,999,999,4.5,1.15,26,999,999,999,999,999
barton,999,999,999,999,999,999,999,999,999,999,1,17,26,999,999,999,999,999
bennelong,999,999,999,999,999,999,999,999,999,999,1.9,1.8,26,999,999,999,999,999
berowra,999,999,999,999,999,999,999,999,999,999,26,1,12,999,999,999,999,999
blaxland,999,999,999,999,999,999,999,999,999,999,1.03,9,26,15,999,999,999,999
bradfield,999,999,999,999,999,999,999,999,999,999,34,1.9,26,1.8,999,999,999,999
calare,999,999,999,999,999,999,999,999,999,999,26,1.65,11,2.45,999,999,999,999
chifley,999,999,999,999,999,999,999,999,999,999,1.01,10,26,999,999,999,999,999
cook,999,999,999,999,999,999,999,999,999,999,15,1,26,999,999,999,999,999
cowper,999,999,999,999,999,999,999,999,999,999,26,1.95,26,1.75,999,999,999,999
cunningham,999,999,999,999,999,999,999,999,999,999,1.03,16,21,999,12,999,999,999
dobell,999,999,999,999,999,999,999,999,999,999,1.08,7,15,999,999,999,999,999
eden-monaro,999,999,999,999,999,999,999,999,999,999,1.17,4.35,15,999,999,999,999,999
farrer,999,999,999,999,999,999,999,999,999,999,26,1.03,9,999,999,999,999,999
fowler,999,999,999,999,999,999,999,999,999,999,2.8,41,15,1.4,999,999,999,999
gilmore,999,999,999,999,999,999,999,999,999,999,2.2,1.6,10,999,999,999,999,999
grayndler,999,999,999,999,999,999,999,999,999,999,1,26,26,999,19,999,999,999
greenway,999,999,999,999,999,999,999,999,999,999,1.13,4.5,29,999,999,999,999,999
hughes,999,999,999,999,999,999,999,999,999,999,7,1.06,21,999,999,999,999,999
hume,999,999,999,999,999,999,999,999,999,999,17,1,15,999,999,999,999,999
hunter,999,999,999,999,999,999,999,999,999,999,1.15,5,21,999,999,19,999,999
kingsford smith,999,999,999,999,999,999,999,999,999,999,1.01,11,15,999,999,999,999,999
lindsay,999,999,999,999,999,999,999,999,999,999,13,1.01,26,999,999,999,999,999
lyne,999,999,999,999,999,999,999,999,999,999,17,1.01,9,999,999,999,999,999
macarthur,999,999,999,999,999,999,999,999,999,999,1.08,6,26,999,999,999,999,999
mackellar,999,999,999,999,999,999,999,999,999,999,26,3.25,26,1.32,999,999,999,999
macquarie,999,999,999,999,999,999,999,999,999,999,1.22,3.75,21,999,999,999,999,999
mcmahon,999,999,999,999,999,999,999,999,999,999,1.25,13,3.5,999,999,999,999,999
mitchell,999,999,999,999,999,999,999,999,999,999,13,1,26,999,999,999,999,999
new england,999,999,999,999,999,999,999,999,999,999,26,1,11,999,999,999,999,999
newcastle,999,999,999,999,999,999,999,999,999,999,1.01,21,21,999,15,999,999,999
page,999,999,999,999,999,999,999,999,999,999,10,1.03,11,999,999,999,999,999
parkes,999,999,999,999,999,999,999,999,999,999,17,1.01,9,999,999,999,999,999
parramatta,999,999,999,999,999,999,999,999,999,999,1.18,4.25,26,999,999,999,999,999
paterson,999,999,999,999,999,999,999,999,999,999,1.8,2,9,999,999,999,999,999
reid,999,999,999,999,999,999,999,999,999,999,1.22,3.85,26,999,999,999,999,999
richmond,999,999,999,999,999,999,999,999,999,999,1.3,10,15,999,3.75,999,999,999
riverina,999,999,999,999,999,999,999,999,999,999,26,1.02,9,999,999,999,999,999
robertson,999,999,999,999,999,999,999,999,999,999,1.6,2.2,26,999,999,999,999,999
shortland,999,999,999,999,999,999,999,999,999,999,1.13,5,26,999,999,999,999,999
sydney,999,999,999,999,999,999,999,999,999,999,1.01,26,26,999,11,999,999,999
warringah,999,999,999,999,999,999,999,999,999,999,34,7,34,1.06,999,999,999,999
watson,999,999,999,999,999,999,999,999,999,999,1.04,15,26,9,999,999,999,999
wentworth,999,999,999,999,999,999,999,999,999,999,26,4.5,26,1.15,999,999,999,999
werriwa,999,999,999,999,999,999,999,999,999,999,1.33,3,26,999,999,999,999,999
whitlam,999,999,999,999,999,999,999,999,999,999,1.15,4.75,17,999,999,999,999,999
ballarat,999,999,999,999,999,999,999,999,999,999,1.04,8.5,15,999,999,999,999,999
bruce,999,999,999,999,999,999,999,999,999,999,1.22,3.85,26,999,999,999,999,999
calwell,999,999,999,999,999,999,999,999,999,999,1.04,15,8.5,999,999,999,999,999
casey,999,999,999,999,999,999,999,999,999,999,7,1.13,26,9,999,999,999,999
corangamite,999,999,999,999,999,999,999,999,999,999,1.13,5,19,999,999,999,999,999
corio,999,999,999,999,999,999,999,999,999,999,1.01,15,15,999,999,999,999,999
dunkley,999,999,999,999,999,999,999,999,999,999,1.22,3.85,26,999,999,999,999,999
flinders,999,999,999,999,999,999,999,999,999,999,26,1.25,3.5,999,999,999,999,999
fraser,999,999,999,999,999,999,999,999,999,999,1.01,21,26,999,13,999,999,999
gellibrand,999,999,999,999,999,999,999,999,999,999,1.02,13,13,999,999,999,999,999
gippsland,999,999,999,999,999,999,999,999,999,999,17,1,26,999,999,999,999,999
gorton,999,999,999,999,999,999,999,999,999,999,1.05,7,26,999,999,999,999,999
