ced,tpp_winner25,you_gov_call,lab_coalition_tpp_swing25,coalition_share,coalition_lo,coalition_hi,greens_share,greens_lo,greens_hi,independent_share,independent_lo,independent_hi,labor_share,labor_lo,labor_hi,one_nation_share,one_nation_lo,one_nation_hi,other_share,other_lo,other_hi,labor_tcp_share,coalition_tcp_share,greens_tcp_share,other_tcp_share,lab_range,labor_mrp,coa_range,coalition_mrp,seat
Adelaide,Labor,Safe Labor,4,31.3,28.3,34.4,18.3,15.8,20.7,4.1,2.8,5.9,38.1,33.8,42.6,5.8,4.4,7.4,2.4,1.6,3.4,58.1,41.9,NA,NA,8.800000000000004,0.961,6.099999999999998,0.039,Adelaide
Aston,Coalition,Likely Coalition,0,40.7,36.6,44.8,13.8,11.8,16,6.5,4.4,9.2,28.2,23.7,32.4,6.2,4.6,8.1,4.6,3.1,6.6,47.3,52.7,NA,NA,8.7,0.276,8.199999999999996,0.724,Aston
Ballarat,Labor,Safe Labor,5,28.2,24.9,31.4,14.6,12.5,16.8,6.4,4.3,9.1,38.4,33.5,43,9.9,7.6,12.5,2.6,1.6,3.8,58.3,41.7,NA,NA,9.5,0.957,6.5,0.043,Ballarat
Banks,Coalition,Likely Coalition,1,42.2,38,46.8,10.7,8.9,12.7,4.8,2.8,7,32.2,27.5,37.5,6.2,4.4,8.5,3.9,2.5,5.7,47.5,52.5,NA,NA,10,0.309,8.799999999999997,0.691,Banks
Barker,Coalition,Safe Coalition,5,47.3,42.1,52.4,7.2,5.9,8.7,8.4,5.6,11.4,22.6,18.7,26.9,13.5,10.4,17.2,1.1,0.6,1.8,38.3,61.7,NA,NA,8.2,0.004,10.299999999999997,0.996,Barker
Barton,Labor,Safe Labor,9,32.3,28.8,36,13.5,11.4,15.9,3.9,2.3,5.9,38.9,33.8,44.3,8.1,5.9,10.8,3.2,2.1,4.9,56.3,43.7,NA,NA,10.5,0.888,7.199999999999999,0.112,Barton
Bass,Coalition,Likely Coalition,0,36.2,32.3,40.4,13.3,11.1,15.8,11,7.5,15.4,26.6,22.8,31.1,9.9,7.4,12.9,3.1,2,4.5,48.4,51.6,NA,NA,8.3,0.358,8.100000000000001,0.642,Bass
Bean,Labor,Safe Labor,3,29.1,25.7,32.8,15.7,12.9,18.5,11.9,8.5,16,38.1,32.7,44.5,4,2.8,5.2,1.3,0.7,1.9,59.5,40.5,NA,NA,11.799999999999997,0.954,7.099999999999998,0.046,Bean
Bendigo,Labor,Safe Labor,5,28.5,25.5,31.8,13.5,11.4,15.6,9.5,6.7,12.9,36.5,31.9,41.3,10.1,7.9,12.6,2,1.2,2.8,57.1,42.9,NA,NA,9.399999999999999,0.93,6.300000000000001,0.07,Bendigo
Bennelong,Coalition,Marginal Coalition,2,40.7,36.3,45.3,12.8,10.5,15.2,5.2,3.1,7.9,31,26.1,36.5,4.4,3,6,5.8,3.8,8.4,48.6,51.4,NA,NA,10.399999999999999,0.393,9,0.607,Bennelong
Berowra,Coalition,Safe Coalition,4,44.1,39.6,48.5,14.8,12.6,17.1,8.4,5.9,11.1,23.8,20.5,27.7,4.8,3.4,6.4,4,2.5,5.8,44.2,55.8,NA,NA,7.199999999999999,0.073,8.899999999999999,0.927,Berowra
Blair,Labor,Likely Labor,4,32.4,28.7,36.3,13.5,11.3,15.9,4.2,2.5,6.3,31.6,27.3,36.2,14.2,10.9,17.7,4,2.5,5.8,51.6,48.4,NA,NA,8.900000000000002,0.635,7.599999999999998,0.365,Blair
Blaxland,Labor,Safe Labor,8,30.5,26.4,34.5,12,9.2,14.7,3.8,2.1,6.2,39.1,33.4,45.5,10.1,7.3,13,4.5,2.7,6.8,56.5,43.5,NA,NA,12.100000000000001,0.872,8.100000000000001,0.128,Blaxland
Bonner,Coalition,Likely Coalition,0,41.7,37.5,46.1,15.6,13.4,18,5.2,3.2,7.6,27.3,23,31.4,8.6,6.6,11.3,1.6,0.9,2.2,46.4,53.6,NA,NA,8.399999999999999,0.209,8.600000000000001,0.791,Bonner
Boothby,Labor,Likely Labor,1,36.1,32.4,40,15.8,13.3,18.4,10,7.3,12.9,31.9,27.7,36.3,4.5,3.2,5.9,1.7,0.9,2.5,52.7,47.3,NA,NA,8.599999999999998,0.725,7.600000000000001,0.275,Boothby
Bowman,Coalition,Safe Coalition,0,42.1,37.8,46.4,12.4,10.4,14.6,4.9,3.3,7.1,26,22,30.2,11,8.5,13.8,3.5,2.3,5,44.2,55.8,NA,NA,8.2,0.092,8.600000000000001,0.908,Bowman
Braddon,Coalition,Safe Coalition,2,40.7,36.2,45.4,9.3,7.5,11.3,10.5,7.3,14.5,25.3,21.2,30,9.7,7,13,4.5,2.8,6.6,44.3,55.7,NA,NA,8.8,0.107,9.199999999999996,0.893,Braddon
Bradfield,Coalition,Marginal Coalition,4,39.4,37.1,41.5,8.8,7.5,10,27.7,24.3,31.4,20.4,18,22.8,3.1,2.1,4.2,0.7,0.3,1.2,NA,50.1,NA,NA,4.800000000000001,NA,4.399999999999999,0.513,Bradfield
